Tapas,Pizza,Italian,French and Swiss,Mexican / Tex Mex,"Indian, Pakistani and Moroccan",Chinese and Korean,"Thai, Vietnamese and Indonesian ",Japanese and Sushi,Seafood,Burgers and BBQ,Steak,BYOB,Misc. Dinner,Lunch and Salads,Sandwiches ,Chicken Wings,Sweet Treats ,Coffee and Tea,Vegan and Vegetarian ,Fine Dining ,Cocktails and Wine Bars,Date Nights ,Brunch ,Afternoon Tea,Lunch with Mum ,Old Man Pubs ,Cheese Boards,Most Instagrammable Interiors
La Bodega ,Paulie's Pizza ,Etto  ,The Green Hen ,Masa ,Pickle ,Mac @ D6 ,Neon ,Musashi,Klaw,Mad Egg,Boeuf,Vintage Kitchen ,Hey Donna ,Sprout,Dough Boys ,Tribeca ,Queen of Tarts ,Bewleys ,Hey Donna ,The Ivy ,Idlewilde,Urchin ,Dillengers,The Merrion ,Maison Moli,Grogan's,Piglet ,The Ivy
Las Tapas De Lola ,Manifesto ,The Unicorn ,Marcels ,777,Kinara Kitchen ,Kites ,Saba ,Baanyi ,The Fish Shack ,Bobos ,1909 Dalkey,Little Kitchen ,White Friar Grill ,Union Café ,Bewleys ,Canal Bank Café ,Laduree ,Hotel Chocolat,Cornucopia ,Shanahans on the Green ,The Greyson ,Pichet,San Lorenzos,The Shelbourne,The Happy Pear ,Kehoe's,House ,The Pot Bellied Pig
The Greedy Goose,Cirillo’s  ,LUNA,Pichet ,Pablo Picante ,Ananda  ,Hang Dai ,Siam Thai ,Yamamori / Izakaya ,The Fish Shop ,Bunsen ,Tomahawk ,Basil ,Jamie's Italian,Moreish Superfoods ,M&S Café,Wishbone ,Keoghs Café  ,Thirty Four Coffee ,The Happy Pear ,Marco Pierre White,The Iveagh Hotel ,Rooftop @ The Marker ,Lennox,The Dylan ,Slice  ,Cobblestone,Fallon & Byrne ,Fallon & Byrne Dun Laoghaire
Market Bar ,Platform Pizza ,Terra Madre ,L'Gueuleton ,Taco Taco ,Rasam  ,China Sichuan ,Baan Thai ,Michie Sushi ,Stoop Your Head,Jo Burger ,Feather-Blade ,Seagrass ,Fallon & Byrne ,Fumbally Café ,The Green Bench Café ,Crackbird ,Scrum - Diddlys ,Butlers ,Umi Falafel ,FIRE,Rooftop @ The Marker ,Sitting Room @ Delahunt ,Balfes ,Powerscourt Hotel  ,Avoca Fern House ,The Swan,Sheridan's Cheesemongers,777
Fade Street Social ,That's Amore ,Dunne & Crescenzi,La Maison ,Boojum ,Moro Kitchen by Dada,M+L Chinese,Mao ,The Ramen Bar / Kokoro ,Cavistons,Box Burger,Butcher Grill ,Pho Ta ,Host ,Square One ,Juniors ,Elephant and Castle ,The Rolling Doughnut ,The Fat Fox ,Sova Vegan Butcher ,Pearl Brasserie ,CowFish ,Fade Street Social ,Little Freidas,The Westbury Hotel ,Bewleys ,Toner's,Chez Max ,Angelina's 
Boqueria ,Skinflint ,Oliveto ,The French Paradox ,Little Ass Burrito Bar ,Vermilion ,The Lucky Tortoise at the Hill Pub ,Asashi ,Ukiyo ,Catch 22 ,Pitt Bros ,The Chop House ,Zakura ,The Square Ball ,Barista Café ,The Food Room ,Camden Rotisserie ,Slice  ,Hatch ,Blazing Salads ,L'Ecrivain ,Sophie's @ The Dean Hotel ,Coppinger Row ,Fable & Stey ,The Vintage Tea Rooms Bus ,Vanilla Pod ,P. Mac's,Ely Wine Bar,Swings @ Sophies
Salamanca ,Independent Pizza Company ,Er Buchetto ,Chez Max,Xico ,Kajjal ,Kimchi @ Hophouse,Diep (Take-Away),Sushi King,Fishbone ,Bison Bar ,FXBs  ,Rotana ,Hugos ,Woodfire & Green,The Pig & Heifer ,Smokin Bones ,Mooch Frozen Yoghurt,Coffee Angel ,Govindas ,Patrick Guibauld ,Angelina's ,The Winding Stair ,The Pot Bellied Pig ,The Westin ,Press Café,The Long Hall ,Chapter 1,Luna
The Port House ,Credo (Take-Away),Osteria Lucio,La Reserve ,Oxaca,3 Leaves ,Chai Yo Teppenaki ,Camile Thai ,Taste at Rustic ,Deep,Five Guys,Asador ,Marios ,L Mulligan Grocers ,Wooden Spoon ,Poulet Bonne Femme ,Platform Pizza ,Murphy's Ice Cream ,The Bald Barista ,The Hopsack,Dax,Sitting Room @ Delahunt ,Sophie's @ The Dean Hotel ,Nutbutter,Brown Thomas ,The Woollen Mills ,Slatterys,La Cave,The Pigeon House 
CowFish ,Steps of Rome ,Di Luca ,Le Petit Parisien ,Token ,,Drunken Fish ,Kanum ,Bread and Bones ,The Lobster Pot,Wow Burger ,Devilles of Dalkey ,Keshk ,Ely Wine Bar ,Mellow Fig,Oxman-town ,Blue Bar Skerries ,Dolce Sicily,Nicks Coffee Company ,eathos,The Greenhouse ,The Ivy ,Vintage Cocktail Club ,Dock Yard,Laduree ,Gourmet Food Parlour ,Devitt's,Olesya's Wine Bar,Balfe's 
Piglet ,Basil ,Robertas ,Edelwise ,Verde Burritos,,,Pho Viet ,Tani ,Urchin @ The Cliff House,Bujo Burgers ,Beeftro ,Damascus Gate,Butler & Barry ,Blazing Salads,147 Deli ,Riba Café,Ginos Gelato,Kaph ,Green Beards,The Green Hen ,The Exchequer,Rustic Stone ,Riba Café,The Morrisson,Mayfield Restaurant ,Cassidy's ,Baggots Hutton ,Roberta's
